web-scraper-order,web-scraper-start-url,Product_Name,Product_Price,Product_Sold
"1713627386-118","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja R1001 Oppo Original Connector Charger Ces X909 Port Usb Only","Rp900","10RB+ Terjual"
"1713627386-119","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Lensa Kamera A70 Samsung Original Camera Belakang Lens Lense","Rp13.600","53 Terjual"
"1713627386-120","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja X662 Infinix Hot 11 Original Connector Charger Port Usb Only","Rp8.600","2,7RB Terjual"
"1713627386-121","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","lc Audio 338s00105 lp 7 7+ Plus","Rp34.100","867 Terjual"
"1713627386-122","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Fleksibel Board Mi 12T Mi12T Pro Flexible Xiaomi Flex Sub Main","Rp44.200","8 Terjual"
"1713627386-123","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible Board A336B Samsung A33 5G Fleksibel Sub Main Flex","Rp43.600","122 Terjual"
"1713627386-124","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Lensa Kamera Poco M5s Lense Camera Lens Belakang","Rp13.300","79 Terjual"
"1713627386-125","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Glass Sudah Oca J4 Plus J610 Samsung Kaca Touchscreen LCD Layar Sentuh","Rp18.600","175 Terjual"
"1713627386-126","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible Papan Cas Redmi Note 10 Pro 4G Original Flex Charging Board Xiaomi","Rp64.400","44 Terjual"
"1713627386-127","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC Power Max77705F S9 Samsung Galaxy Original New Max 77705F","Rp46.200","238 Terjual"
"1713627386-128","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Tab T211 T116 T210 P3200 P5200 Connector Charger Original","Rp1.700","1,9RB Terjual"
"1713627386-129","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC Power Hi6522 Original New Tested Hl6522 Hi 6522","Rp43.600","59 Terjual"
"1713627386-130","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Vivo Y16 Lensa Camera Lens Belakang","Rp15.500","37 Terjual"
"1713627386-131","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC Display Sm5109 Vivo Y91 Y93 Original New Tested SM 5109","Rp22.600","769 Terjual"
"1713627386-132","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible On Off Realme 5i Tombol Switch Flex Power","Rp8.300","66 Terjual"
"1713627386-133","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Oppo Reno Charger Connector Ces Port Usb Plug in","Rp6.200","2,2RB Terjual"
"1713627386-134","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flex Board Infinix Zero X Neo X6810 Fleksibel Mainboard Flexible Sub","Rp56.500","157 Terjual"
"1713627386-135","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Redmi Note 4 Original Connector Charger Ces Xiaomi Port Usb Only","Rp1.200","9RB Terjual"
